STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,2005/2/8,34,25,43,4.03,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/9,44,34,53,4.7,10.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/2/10,36,30,41,8.5,21,1,1,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2005/2/11,32,27,36,16.78,30,,,,,,,,,,,,,,,,,1,,,
USW00014765,2005/2/12,33,26,39,9.4,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/13,34,26,41,8.72,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/14,31,21,40,9.17,17.9,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,2005/2/15,43,34,52,9.62,25.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/2/16,43,31,54,8.95,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/2/17,34,29,39,8.05,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/18,25,16,34,13.2,23,,,,,,,,,,,,,,,,,1,,,
USW00014765,2005/2/19,21,13,29,9.17,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/20,26,18,34,6.93,17,,,,,,,,,,,,,,,,,1,,,
USW00014765,2005/2/21,29,25,33,10.96,17,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2005/2/22,30,26,33,10.07,21,1,,,,,1,,,,,,1,,1,1,,1,,,
USW00014765,2005/2/23,31,24,37,8.5,17.9,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/2/24,24,18,29,10.07,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/2/25,25,19,30,10.29,21,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/2/26,24,13,35,6.49,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/27,28,20,35,9.17,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/28,27,18,36,10.74,23.9,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,2005/3/1,30,27,32,10.74,25.1,1,,,,,,,,,,,1,,,,,1,,,1
USW00014765,2005/3/2,30,24,35,14.54,25.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/3/3,24,19,29,14.32,23,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/4,25,16,33,10.29,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/5,30,19,40,8.28,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/6,34,26,41,9.4,25.1,,,,,,,,,,,,,,,,,1,,,
USW00014765,2005/3/7,40,32,47,10.51,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/8,30,16,44,14.32,36.9,1,1,,1,,,,,1,,,1,,,1,,1,,,1
USW00014765,2005/3/9,18,11,25,16.55,32,,,,,,,,,1,,,,,,,,1,,,
USW00014765,2005/3/10,22,13,30,9.17,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/11,25,18,32,5.59,15,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,2005/3/12,34,32,35,8.05,17,1,1,,,,,,,,,,1,,,1,,1,,,
USW00014765,2005/3/13,34,30,38,6.04,13,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/3/14,34,25,42,10.96,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/15,37,28,46,11.63,23,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/16,38,29,46,10.96,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/17,37,27,46,7.38,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/18,37,26,47,8.5,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/19,39,29,49,6.71,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/20,38,27,48,5.82,14.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/3/21,36,29,43,3.58,12.1,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,2005/3/22,41,26,55,8.5,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/23,38,29,46,9.17,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/3/24,36,30,41,13.2,25.9,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2005/3/25,41,30,52,8.5,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/26,38,29,47,8.28,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/27,37,27,47,5.82,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/28,43,35,50,8.5,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/3/29,47,41,53,14.32,23.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/3/30,50,39,61,8.28,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/3/31,44,32,55,6.49,14.1,,,,,,,,1,,,,,,,,,,,,
USW00014765,2005/4/1,45,38,52,6.49,16.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/4/2,48,39,57,14.32,36,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/4/3,48,40,56,14.54,38,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/4/4,48,40,55,11.41,21,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/4/5,50,36,64,8.5,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/6,49,40,57,6.49,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/7,56,40,71,9.84,28,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/4/8,50,42,58,7.16,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/4/9,50,39,61,8.28,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/10,50,34,65,6.04,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/11,46,38,54,11.86,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/12,43,32,54,10.96,23,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/13,43,34,52,7.38,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/14,46,34,57,11.63,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/15,45,36,54,13.2,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/16,46,32,60,7.61,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/17,49,33,64,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/18,59,44,73,7.83,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/19,53,37,69,7.83,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/20,67,47,86,12.3,25.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/4/21,50,39,61,10.51,23.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/4/22,47,35,58,9.4,21.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/4/23,55,46,63,12.3,23.9,1,1,,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/4/24,51,42,59,15.21,33.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/4/25,47,42,51,12.75,25.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/4/26,53,38,68,10.29,25.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/4/27,53,50,56,10.07,23,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/4/28,53,41,65,11.63,32,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/4/29,52,40,63,10.96,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/4/30,52,47,57,7.61,17,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/5/1,54,46,62,6.49,19.9,1,1,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/5/2,51,40,61,11.86,28,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/5/3,50,41,58,7.83,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/4,48,39,57,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/5,49,36,62,6.71,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/6,47,39,55,8.28,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/5/7,45,42,47,22.59,36.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/5/8,48,42,53,22.15,34.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,2005/5/9,52,47,56,14.09,23,,,,,,,,,,,,,1,,1,,,,,
USW00014765,2005/5/10,58,48,67,7.83,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/11,53,44,62,9.4,23,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/12,56,46,65,12.97,30,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/13,52,40,64,10.07,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/14,55,49,61,6.49,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/15,57,47,66,5.82,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/5/16,55,45,64,8.05,14.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/5/17,57,48,65,7.16,19.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/5/18,55,47,62,5.14,16.1,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,2005/5/19,56,46,65,6.71,14.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/5/20,54,44,63,6.49,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/21,51,43,58,13.2,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/5/22,53,46,59,7.38,19.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,2005/5/23,51,45,57,8.05,21,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/5/24,48,45,50,15.88,28,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/5/25,46,44,48,24.16,33.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/5/26,51,46,56,14.54,29.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/5/27,58,51,65,7.61,16.1,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/5/28,65,53,77,8.5,21,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/5/29,65,54,75,5.59,15,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,2005/5/30,64,52,76,6.49,25.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/5/31,59,50,68,8.05,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/1,60,51,69,7.83,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/2,57,50,64,9.62,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/3,64,53,75,7.83,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/4,69,58,80,3.8,13,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/6/5,74,59,88,5.37,15,,,,,,,,1,,,,,,,,,,,,
USW00014765,2005/6/6,65,58,72,9.4,17,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/6/7,74,62,86,10.74,23.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/6/8,75,62,87,6.71,17,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/6/9,77,66,87,8.05,17.9,,,,,,,,1,,,,,,,,,,,,
USW00014765,2005/6/10,74,67,80,10.51,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/11,77,67,87,9.62,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/12,78,67,88,8.05,15,,,,,,,,1,,,,,,,1,,,,,
USW00014765,2005/6/13,83,73,92,8.5,17,,,,,,,,1,,,,,,,1,,,,,
USW00014765,2005/6/14,75,56,93,7.61,29.1,1,,,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/6/15,55,51,59,10.51,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/6/16,59,51,67,5.59,14.1,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/6/17,66,55,76,6.93,17.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/6/18,62,53,70,5.82,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/6/19,60,53,67,8.95,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/20,61,49,73,7.16,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/21,67,52,82,9.17,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/22,68,60,76,7.83,21,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,2005/6/23,66,55,76,8.95,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/24,70,55,85,9.84,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/25,80,66,93,10.74,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/6/26,82,70,94,7.38,16.1,,,,,,,,1,,,,,,,,,,,,
USW00014765,2005/6/27,75,68,82,8.72,19.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/6/28,73,68,78,7.38,15,1,1,,,,,,1,,,,1,1,,1,,,,,
USW00014765,2005/6/29,80,70,90,9.62,23,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/6/30,71,67,75,6.71,14.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/7/1,73,67,79,4.7,13,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/7/2,74,66,82,8.95,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/7/3,70,59,81,7.61,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/4,68,56,80,5.37,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/5,69,55,83,8.72,17.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/7/6,68,62,74,9.17,23,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/7/7,64,59,69,13.87,21.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,2005/7/8,60,57,63,10.74,19.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/7/9,69,56,81,9.84,23.9,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,2005/7/10,77,63,91,10.07,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/11,83,72,93,8.95,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/12,73,63,83,8.5,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/13,68,62,73,8.05,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/14,75,65,85,8.5,17.9,1,,,,,,,1,,,,1,1,,1,,,,,
USW00014765,2005/7/15,79,69,88,5.82,15,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/7/16,76,67,84,6.49,17,1,1,,,,,,,,,,1,,,,,,,,
USW00014765,2005/7/17,75,68,81,7.61,14.1,1,1,,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/7/18,77,72,82,8.28,15,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/7/19,84,74,94,6.93,17.9,1,,1,,,,,1,,,,1,1,,1,,,,,
USW00014765,2005/7/20,82,73,91,7.61,17,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/7/21,77,68,86,6.26,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/22,81,68,94,7.16,21.9,,,1,,,,,,,,,,,,1,,,,,
USW00014765,2005/7/23,77,68,86,10.51,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/24,73,60,86,7.83,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/25,77,70,84,12.08,25.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/7/26,82,67,96,9.4,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/7/27,84,73,95,11.41,21.9,1,,1,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/7/28,72,63,80,11.41,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/29,73,57,88,8.05,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/7/30,77,68,85,5.14,12.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/7/31,72,65,79,6.04,12.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/8/1,,63,86,7.83,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/8/2,,69,92,6.71,15,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/8/3,,70,95,7.38,19.9,,,1,,,,,,,,,,,,,,,,,
USW00014765,2005/8/4,,68,86,7.38,16.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/8/5,,72,99,9.4,23.9,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/8/6,,64,86,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/7,,62,84,7.16,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/8,,67,91,8.28,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/8/9,,73,86,7.61,23,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/8/10,,71,85,8.95,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/8/11,,70,95,6.49,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/12,,73,87,7.61,16.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/8/13,,77,100,9.62,17.9,,,1,,,,,1,,,,,,,,,,,,
USW00014765,2005/8/14,,74,93,7.83,17,1,,1,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/8/15,,64,75,11.63,17.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/8/16,,63,78,7.16,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/17,,66,89,9.4,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/18,,62,82,6.71,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/19,,59,80,5.37,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/20,,64,84,6.71,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/8/21,,68,89,7.16,21.9,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/8/22,,68,89,6.93,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/23,,60,83,6.71,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/24,,61,81,7.16,14.1,,,1,,,,,,,,,,,,1,,,,,
USW00014765,2005/8/25,,59,82,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/26,,59,86,5.82,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/27,,60,83,8.05,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/8/28,,69,82,9.4,17.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/8/29,,72,83,7.38,17.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/8/30,,71,75,5.59,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/8/31,,75,80,15.43,23,,,,,,,,,,,,,1,,1,,,,,
USW00014765,2005/9/1,,66,86,8.5,17.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/9/2,,63,86,6.26,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/3,,65,83,8.05,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/4,,61,84,6.49,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/5,,58,78,7.61,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/6,,53,78,4.47,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/7,,55,79,5.37,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/8,,57,83,6.04,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/9,,60,75,6.26,16.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/9/10,,55,76,7.16,17,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/9/11,,51,74,7.16,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/12,,63,91,9.62,19.9,,,,,,,,1,,,,,,,,,,,,
USW00014765,2005/9/13,,67,85,5.82,15,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/9/14,,66,84,9.17,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/9/15,,70,76,4.03,14.1,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,2005/9/16,,66,72,7.83,14.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/9/17,,65,76,7.61,16.1,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,2005/9/18,,63,78,6.04,14.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/9/19,,58,82,4.92,13,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/20,,61,78,9.17,21,1,,1,,,,,1,,,,1,,,1,,,,,
USW00014765,2005/9/21,,61,80,8.95,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/22,,56,83,8.72,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/23,,62,83,10.29,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/24,,50,68,8.95,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/25,,45,69,7.61,17,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/26,,64,77,14.76,25.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/9/27,,52,73,10.07,23.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,2005/9/28,,48,69,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/9/29,,48,76,12.75,36.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/9/30,,44,62,5.82,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/10/1,,44,68,5.37,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/10/2,,48,75,2.91,12.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/10/3,,51,72,4.03,13,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/10/4,,57,72,4.47,10.1,1,1,,,,,,,,,,1,,,,,,,,
USW00014765,2005/10/5,,59,75,3.8,12.1,1,1,,,,,,1,,,,1,,,,,,,,
USW00014765,2005/10/6,,65,76,6.04,17,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/10/7,,68,78,8.28,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/10/8,,70,76,14.54,25.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/10/9,,52,72,11.41,25.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/10/10,,54,56,9.4,16.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/10/11,,55,60,14.32,25.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/10/12,,53,57,18.79,28,1,,,,,,,1,,,,1,1,,1,,,,,
USW00014765,2005/10/13,,55,61,15.66,21.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/10/14,,58,63,12.53,17.9,1,,,,,,,,,,,1,,,1,,,,,
